"","SEQN","SDDSRVYR","RIDSTATR","RIAGENDR","RIDAGEYR","RIDAGEMN","RIDRETH1","RIDRETH3","RIDEXMON","RIDEXAGM","WTDRD1","WTDR2D","DR1DRSTZ","DR1EXMER","DRABF","DRDINT","DR1DBIH","DR1DAY","DR1LANG"
"SEQN",3.87522278520917,0,0,-0.278664810688365,-0.472830579830624,-0.39017747346945,-0.36124126362418,-0.348859511307,-0.206971107974553,-0.296200407684783,-0.392844492652291,-0.395536336833304,0.080458747682598,-0.1442674270332,-0.0943734589419929,-0.25569451554147,-0.152569631782557,-0.138315171357229,-0.114946106744311
"SDDSRVYR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RIDSTATR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RIAGENDR",-0.328715586773818,0,0,3.87351643843147,-0.396159691993915,-0.481820495530182,-0.469532790964842,-0.453279358344181,-0.243449075086358,-0.412613360932219,-0.36227487439266,-0.43161665836983,0.110448593795736,-0.2432076071852,-0.133933896016551,-0.232671685768521,-0.298422427515314,-0.264214099562708,-0.0543491700342596
"RIDAGEYR",-0.311608971233898,0,0,-0.181066931646737,3.45590092781937,0.705124446673221,-0.360246935354756,-0.406904251844433,-0.520225222630536,0.340573637928204,0.219048892143472,0.0308505726235568,-0.326426772282023,-0.155772957854207,0.335208103044862,-0.0912561247288031,-0.226515636462313,-0.434367577433578,0.336632989493715
"RIDAGEMN",-0.185540063558283,0,0,-0.235380234912433,0.759697862051491,3.35552280870645,-0.257635503765055,-0.263916166110346,-0.299212287198621,1.00708917198011,0.000137350856422873,-0.0999163278829276,-0.350260843780776,-0.178952467001861,0.483624763305573,-0.37439492540001,-0.238456917488573,-0.088157590800226,-0.0164119254209961
"RIDRETH1",-0.246106391456885,0,0,-0.343334030006206,-0.410090067787507,-0.315360019804307,2.65261213094644,2.57574926928158,0.556036957862273,-0.356425473345574,-0.339236352814606,-0.383793041092873,0.233214685214122,-0.282845193160753,-0.237651184510947,-0.176705858285607,-0.438438487236453,-0.113908687214299,-0.453995551974557
"RIDRETH3",-0.247199464991208,0,0,-0.339067111915541,-0.486810570703055,-0.339997537314416,2.56013483814336,2.66830356914304,0.393994492235604,-0.404507203108905,-0.438112044812279,-0.46073853385101,0.269289300592574,-0.289592225021421,-0.273998707594696,-0.214157713689077,-0.372689326841857,-0.076206654812854,-0.28279577743645
"RIDEXMON",-0.197112716147152,0,0,-0.186392672607815,-0.673055513021917,-0.489907968011382,0.25860403554228,0.14816908697322,3.68376635157233,-0.49834958978663,-0.176167788016247,-0.261627270143913,0.0898718259795462,-0.524073577257383,-0.106235298014086,-0.287601964070754,-0.550324619087031,-0.235101036441961,-0.35825159285068
"RIDEXAGM",-0.140361216939978,0,0,-0.222593519552489,0.363250222952746,1.01033689783966,-0.333692818306329,-0.360264807214943,-0.371054804022997,3.25640073249389,0.298545074868876,0.0695793144532929,-0.501368611053953,-0.114108620790767,0.519014463094368,-0.241456184543209,-0.283429071327286,0.0515180880009588,-0.755818201671271
"WTDRD1",-0.305223768471056,0,0,-0.214885652301291,0.304788796068723,-0.0134247813567365,-0.3517884785961,-0.435851419787602,-0.0320555576532807,0.379971625479582,2.71785036650766,2.13880299926729,-0.621193650562353,-0.234097707288281,0.583173200194768,-0.284962341253988,-0.232411410773962,-0.97713190124515,-0.546702141695283
"WTDR2D",-0.218951998621723,0,0,-0.215788026688093,0.125360446656571,-0.0725647752986833,-0.330410529989984,-0.389162684306276,-0.0643591760191599,0.16006677705541,2.08102702598187,2.8085720123982,-0.11232406662597,-0.247220988886734,0.0970884322720888,0.867189710003323,-0.234491290120685,-0.765794076208768,-0.558527334707175
"DR1DRSTZ",-0.300086662416983,0,0,-0.205353506283414,-1.04250700529073,-1.09988900759821,-0.230877061952056,-0.177444418740826,-0.291679789546247,-1.2201218255856,-1.18282221778841,-0.688416733042371,2.82667145662725,-0.490362975366868,-2.79255618470091,0.0988589889877353,-0.0780262410787366,0.016459878073304,0.00822503576094366
"DR1EXMER",-0.177269793473899,0,0,-0.228241614399552,-0.357727748345798,-0.415012938583165,-0.413730862258907,-0.405603462450425,-0.556214693696181,-0.301779876657579,-0.365458664025265,-0.444671378319562,-0.0697426437701343,3.84953765764862,0.0494160147005796,-0.236933194784919,-0.232330850721657,-0.183440445265161,-0.120115209898677
